Title,Brand,Magnitude,Unit,Quantity,MRP,ean_code,TLC,MLC,LLC,Images
"Bath Soap - 99.9% Germ Protection, Deodorant & Complexion, Original Cinthol [600] {g}",Cinthol,600,g,3x2x100 g,240,1215159,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1215159_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215159-2_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215159-3_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg"
"Original Deodorant & Complexion Soap, 99.9% Germ Protection Cinthol [150] {g}",Cinthol,150,g,150 g,270,40213349,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40213349_2-cinthol-deodorant-complexation-soap-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40213349-2_2-cinthol-deodorant-complexation-soap-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40213349-3_1-cinthol-deodorant-complexation-soap-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40213349-4_1-cinthol-deodorant-complexation-soap-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40213349-5_1-cinthol-deodorant-complexation-soap-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40213349-6_1-cinthol-deodorant-complexation-soap-original.jpg"
"Bath Soap - 99.9% Germ Protection, Deodorant & Complexion, Original Cinthol [800] {g}",Cinthol,800,g,4x2x100 g,320,1215160,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1215160_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215160-2_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215160-3_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg"
"Bath Soap - 99.9% Germ Protection, Deodorant & Complexion, Original Cinthol [1000] {g}",Cinthol,1000,g,5x2x100 g,400,1215161,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1215161_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215161-2_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215161-3_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg"
Lemon & Tea Tree Oil Soap Liril [75] {g},Liril,75,g,75 g,26,8901030844775,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/266817_22-liril-soap-bar-lime-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/266817-2_4-liril-soap-bar-lime-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/266817-3_1-liril-soap-bar-lime-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/266817-4_1-liril-soap-bar-lime-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/266817-5_1-liril-soap-bar-lime-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/266817-6_1-liril-soap-bar-lime-tea-tree-oil.jpg"
Soap Bar - Lime Rush Liril [150] {g},Liril,150,g,2x75 g,52,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,https://www.bigbasket.com/media/uploads/p/l/1203031_2-liril-soap-bar-lime-rush.jpg
"Lemon & Tea Tree Oil Soap, Made from 100% Vegetable Oils Liril [125] {g}",Liril,125,g,125 g,80,8901030844751,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/306184_20-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-2_6-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-3_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-4_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-5_1-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-6_1-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/306184-7_1-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg"
Soap Bar - Lime Rush Liril [300] {g},Liril,300,g,4x75 g,104,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,https://www.bigbasket.com/media/uploads/p/l/1206311_2-liril-soap-bar-lime-rush.jpg
Soap Bar - Lemon & Tea Tree Oil Liril [450] {g},Liril,450,g,6x75 g,156,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1209813_2-liril-soap-bar-lemon-tea-tree-oil.jpg, https://www.bigbasket.com/media/uploads/p/l/1209813-2_1-liril-soap-bar-lemon-tea-tree-oil.jpg"
Soap Bar - Lime Rush Liril [250] {g},Liril,250,g,2x125 g,160,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,https://www.bigbasket.com/media/uploads/p/l/1203056_2-liril-soap-bar-lime-rush.jpg
Soap Bar - Lime Rush Liril [600] {g},Liril,600,g,8x75 g,208,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,https://www.bigbasket.com/media/uploads/p/l/1206312_2-liril-soap-bar-lime-rush.jpg
"Lemon & Tea Tree Oil Soap, Made from 100% Vegetable Oils Liril [125] {g}",Liril,125,g,125 g,212,40165192,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40165192_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-2_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-3_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-4_3-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-5_2-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-6_2-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-7_1-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg, https://www.bigbasket.com/media/uploads/p/l/40165192-8_1-liril-lime-tea-tree-oil-soap-refreshing-bathing-with-fragrance-freshness-of-lemon-paraben-sulphate-free-cleanser.jpg"
Soap Bar - Lemon & Tea Tree Oil Liril [750] {g},Liril,750,g,6x125 g,480,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,https://www.bigbasket.com/media/uploads/p/l/1207174_1-liril-soap-bar-lemon-tea-tree-oil.jpg
